# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_parkhouse
# Exported by: LeetPete
setting:	replacespawns 1
weapon_zm_pistol	1362.5641 -115.8048 416.2976	-0.114 36.008 88.435
weapon_zm_pistol	-1100.8937 1543.1339 204.3498	0.650 36.686 88.767
weapon_zm_pistol	220.9447 -39.9651 292.3002	0.016 35.151 88.176
weapon_zm_pistol	1309.3265 -1052.1699 272.3622	0.401 36.647 89.182
weapon_zm_pistol	775.4279 -728.3467 416.3535	0.576 36.679 88.890
weapon_zm_pistol	2299.9019 -660.7574 411.4830	-0.343 -37.056 -90.303
item_ammo_pistol_ttt	1385.6157 -124.0295 416.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	1383.2666 -99.9038 416.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	1378.4446 -81.4242 416.4461	-0.588 0.168 -0.517
item_ammo_pistol_ttt	685.4527 -336.5391 272.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	671.8917 -333.4204 272.3877	0.092 0.381 0.000
item_ammo_pistol_ttt	664.7221 -329.3329 272.4277	-0.062 -0.020 -0.019
item_ammo_pistol_ttt	1297.0422 87.5809 288.3980	1.553 -0.165 -0.114
item_ammo_pistol_ttt	1276.1969 91.4802 290.4452	-0.001 0.828 12.779
item_ammo_pistol_ttt	1275.3979 89.7504 301.8472	-0.378 0.738 12.442
item_ammo_pistol_ttt	906.3179 -735.4768 560.3920	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	916.2872 -725.1008 560.4345	-0.494 0.205 -0.571
item_ammo_pistol_ttt	-1101.5510 1529.3584 204.3413	0.007 0.028 0.017
item_ammo_pistol_ttt	-1107.5598 1534.6552 204.3502	-0.611 0.050 -0.205
item_ammo_pistol_ttt	-1113.5641 1520.2256 204.3850	-0.080 0.014 -0.001
item_ammo_pistol_ttt	215.9914 -16.0138 292.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	233.9484 -18.9845 292.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	209.8204 -1.8428 292.4214	0.781 0.175 -0.251
item_ammo_pistol_ttt	1306.4188 -1064.0913 272.3382	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	1315.9783 -1078.1335 272.4253	-0.315 0.143 -0.372
item_ammo_pistol_ttt	1305.5109 -1082.5450 272.4203	0.670 0.206 -0.294
item_ammo_pistol_ttt	773.0859 -715.1768 416.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	773.5243 -696.6546 416.4706	-0.956 0.283 -0.438
item_ammo_pistol_ttt	791.2251 -710.4728 416.3870	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	-147.7475 -584.7957 168.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-134.1931 -583.4416 168.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-122.3260 -580.1664 168.4924	0.113 0.025 0.004
item_ammo_pistol_ttt	1144.7317 -1882.3794 321.1259	-1.836 0.275 4.504
item_ammo_pistol_ttt	1154.4192 -1889.3282 320.4492	-0.082 -0.134 0.024
item_ammo_pistol_ttt	1161.3324 -1893.9484 320.4654	-0.670 0.726 0.000
item_ammo_pistol_ttt	1057.2148 -1184.4509 161.9320	4.766 -0.137 -8.538
item_ammo_pistol_ttt	1064.3544 -1188.0305 161.7861	5.472 1.261 -7.638
item_ammo_pistol_ttt	2303.5337 -652.8607 411.2099	-0.238 0.080 -5.325
item_ammo_pistol_ttt	2297.4941 -666.0250 410.4184	-1.128 0.453 0.316
item_ammo_pistol_ttt	2291.3062 -659.5552 410.3880	0.042 0.200 -0.260
item_ammo_pistol_ttt	1606.6600 -850.7125 419.2914	-89.301 -148.565 147.494
item_ammo_pistol_ttt	1623.3302 -848.7823 417.2327	-0.464 0.298 -5.413
item_ammo_pistol_ttt	583.2750 425.0978 127.0868	-83.802 38.473 -3.291
item_ammo_pistol_ttt	583.0628 404.3399 126.7406	-85.090 88.557 -2.922
item_ammo_pistol_ttt	586.3759 371.2775 128.7049	-89.399 5.347 -7.061
item_ammo_pistol_ttt	560.3862 520.9467 127.6223	-88.921 151.527 67.817
item_ammo_pistol_ttt	629.9186 419.6542 127.4946	86.854 -63.218 18.995
item_ammo_pistol_ttt	617.1088 310.6420 127.3526	88.721 -154.285 63.968
weapon_zm_revolver	1694.9337 -312.3273 561.9311	2.180 -17.215 -85.181
weapon_zm_revolver	81.7877 943.1500 285.6233	0.311 -19.594 -83.276
weapon_zm_revolver	-518.8832 1835.2480 273.9162	1.938 9.445 -85.903
weapon_zm_revolver	1077.3926 -603.7361 274.0593	1.843 -2.384 -89.882
weapon_zm_revolver	1265.8723 -841.3225 161.9598	2.527 -20.190 -84.580
weapon_zm_revolver	1074.6469 -436.8793 416.6853	2.310 31.902 84.513
item_ammo_smg1_ttt	1587.4204 -59.8826 416.5385	-0.292 3.054 0.025
item_ammo_smg1_ttt	1584.5370 -39.6870 416.4970	-0.846 0.013 -0.628
item_ammo_smg1_ttt	-428.4199 1784.7211 272.5063	-0.479 0.011 -0.376
item_ammo_smg1_ttt	-393.2494 1782.4301 272.4135	0.298 -0.005 0.188
item_ammo_smg1_ttt	1968.1821 -667.0147 406.0869	-89.459 1.014 4.852
item_ammo_smg1_ttt	1928.1857 -645.2986 408.5071	-0.481 0.012 -0.381
item_ammo_smg1_ttt	755.4618 -560.7734 416.3864	0.088 -0.005 0.047
item_ammo_smg1_ttt	735.1086 -561.3163 416.3917	0.109 -0.005 0.061
item_ammo_smg1_ttt	1257.3510 -322.0821 416.4286	-0.674 0.003 0.440
item_ammo_smg1_ttt	1269.9921 -331.3694 416.4791	0.207 0.000 0.022
item_ammo_smg1_ttt	-127.6403 -571.0422 344.7907	0.174 1.660 -24.882
item_ammo_smg1_ttt	-161.4733 -556.2207 337.9805	-4.813 -11.077 -24.026
item_ammo_smg1_ttt	1047.6587 -423.8537 130.0232	74.041 146.460 -179.320
item_ammo_smg1_ttt	1011.0080 -402.5333 129.4149	-71.325 121.843 179.869
weapon_zm_shotgun	-1235.4965 1533.4927 169.4004	-1.383 8.643 89.827
weapon_zm_shotgun	2659.8674 -623.5911 377.3018	-0.693 6.786 85.895
weapon_zm_shotgun	1131.0640 -618.4791 274.4118	9.436 -0.158 -0.359
weapon_zm_shotgun	1382.9546 -514.5300 273.2802	-0.458 7.102 84.879
weapon_ttt_m16	652.3737 -343.2576 273.2223	2.106 -2.832 85.489
weapon_ttt_m16	1273.4755 103.6945 289.2416	2.171 1.578 85.461
weapon_ttt_m16	209.4565 20.9164 293.1482	2.152 -8.342 84.183
weapon_ttt_m16	-115.4013 -561.3732 169.1894	1.881 -62.889 85.369
weapon_ttt_m16	1042.7430 -1186.6677 161.1681	2.242 -6.216 84.415
weapon_ttt_m16	595.6719 414.4769 108.6091	0.626 -8.255 84.595
weapon_ttt_m16	602.4937 402.7022 110.0846	-1.327 1.138 103.089
weapon_zm_molotov	759.2926 -701.8217 420.5996	2.428 -0.130 -2.525
item_box_buckshot_ttt	-1244.8224 1534.4755 169.7909	-2.654 2.881 -6.348
item_box_buckshot_ttt	-1236.4855 1549.4275 168.4153	-0.758 -0.006 0.676
item_box_buckshot_ttt	-1216.8647 1545.8097 168.3824	-0.408 0.000 0.416
item_box_buckshot_ttt	2646.6436 -602.1072 376.5125	-0.009 19.582 -0.008
item_box_buckshot_ttt	2663.9963 -605.8832 376.3552	1.034 0.001 -0.832
item_box_buckshot_ttt	2658.4622 -631.6581 377.6123	0.075 -3.541 18.071
item_box_buckshot_ttt	1118.0211 -596.0800 272.4935	-0.311 0.609 0.001
item_box_buckshot_ttt	1126.3119 -599.5828 278.4412	58.731 -179.899 179.720
item_box_buckshot_ttt	1141.1940 -602.3556 272.4217	-0.707 -0.005 0.627
item_box_buckshot_ttt	1396.2019 -508.0058 272.4720	0.035 -2.650 0.142
item_box_buckshot_ttt	1388.3335 -508.2438 272.4778	-0.232 -4.585 0.251
item_box_buckshot_ttt	1410.2198 -512.3572 278.2756	59.689 178.173 179.691
weapon_zm_sledge	1632.8674 -323.8454 564.4163	18.525 -0.296 2.704
weapon_zm_sledge	1320.5745 -1065.4517 277.9391	0.791 -15.559 -130.003
weapon_zm_sledge	712.1797 -957.9634 276.4172	18.447 0.409 2.983
weapon_ttt_glock	1262.5353 88.3260 288.5640	-0.288 38.824 91.073
weapon_ttt_glock	913.8195 -737.6113 560.5092	-1.014 26.699 92.002
weapon_ttt_glock	718.5399 -335.1182 272.5089	-1.033 26.689 91.957
weapon_ttt_glock	-142.6814 -596.1221 168.5201	-0.933 26.711 91.779
weapon_ttt_glock	1144.3744 -1873.7373 320.4555	-1.347 26.596 91.524
weapon_ttt_glock	1610.9999 -859.1025 416.5361	-0.653 26.436 91.416
weapon_zm_mac10	1594.9896 -41.7206 417.2522	-0.295 -37.696 -88.551
weapon_zm_mac10	-403.8633 1813.2023 273.2169	-0.128 -44.433 -88.550
weapon_zm_mac10	1919.9176 -672.5021 408.9509	-0.025 15.168 87.374
weapon_zm_mac10	736.4635 -538.1554 417.2872	-0.095 -35.712 -88.719
weapon_zm_mac10	1268.8745 -310.5904 417.2229	-0.125 -44.431 -88.568
weapon_zm_mac10	-162.6732 -577.5529 348.0511	7.619 18.962 64.405
weapon_zm_mac10	1061.1837 -439.7414 105.6718	-4.101 30.203 91.677
item_ammo_357_ttt	898.3964 -710.1008 560.3194	0.448 0.073 0.060
item_ammo_357_ttt	913.5999 -708.2813 560.3715	0.458 0.057 0.040
item_ammo_357_ttt	126.3184 959.6818 285.8585	-0.065 0.152 0.785
item_ammo_357_ttt	135.4152 950.1307 285.8156	-0.117 0.158 0.777
item_ammo_357_ttt	1140.3116 -1905.7526 323.2926	88.821 29.662 -0.000
item_ammo_357_ttt	1130.3495 -1911.3601 325.5355	-45.250 -82.212 179.526
item_ammo_357_ttt	885.3815 1825.0732 310.2339	-17.504 0.397 20.995
item_ammo_357_ttt	904.8488 1808.0822 310.4162	-13.221 -15.507 23.401
item_ammo_357_ttt	-184.9211 -749.6392 326.0813	-0.699 1.776 24.750
item_ammo_357_ttt	-174.7853 -755.7097 326.4930	65.354 89.349 104.223
item_ammo_357_ttt	1051.1195 -1131.8483 560.3787	0.460 0.056 0.037
item_ammo_357_ttt	1070.4829 -1133.6829 560.4016	0.464 0.055 0.028
item_ammo_357_ttt	-991.1226 1696.4442 170.6715	0.869 -0.369 32.916
item_ammo_357_ttt	-980.7684 1694.6925 168.3100	0.446 0.073 0.064
item_ammo_revolver_ttt	1693.0889 -319.8830 560.4375	1.003 -0.021 -0.834
item_ammo_revolver_ttt	1693.9332 -305.3867 560.3611	0.347 -18.958 0.457
item_ammo_revolver_ttt	98.1948 940.1741 285.5332	12.284 -3.408 1.401
item_ammo_revolver_ttt	91.6883 932.9871 284.2503	-2.915 0.016 1.080
item_ammo_revolver_ttt	100.6836 929.5809 284.7092	-3.153 -0.365 1.234
item_ammo_revolver_ttt	-523.4497 1805.9775 272.3406	0.453 0.066 0.051
item_ammo_revolver_ttt	-502.6960 1816.3356 272.3366	0.452 0.066 0.053
item_ammo_revolver_ttt	-524.6567 1827.6349 272.3262	0.450 0.070 0.057
item_ammo_revolver_ttt	1079.0356 -582.2139 275.2654	88.475 -163.256 -0.000
item_ammo_revolver_ttt	1092.6215 -603.3599 275.2940	88.839 -1.675 -0.000
item_ammo_revolver_ttt	1085.5087 -604.5627 274.2265	4.372 -1.612 2.632
item_ammo_revolver_ttt	1264.1865 -855.2400 160.3282	0.449 0.068 0.057
item_ammo_revolver_ttt	1282.8369 -862.8089 160.3571	0.455 0.059 0.045
item_ammo_revolver_ttt	1288.9441 -852.2097 160.3318	0.759 -0.177 -0.292
item_ammo_revolver_ttt	1066.6127 -441.8088 416.3937	0.845 -0.079 -0.709
item_ammo_revolver_ttt	1065.5717 -430.7472 416.3774	0.262 3.135 -0.244
item_ammo_revolver_ttt	1072.8364 -429.6220 416.4280	1.328 4.568 -0.008
ttt_playerspawn	2654.1187 -576.4796 376.4954	-0.013 -168.064 -0.001
ttt_playerspawn	1895.5000 -646.0948 416.4806	0.001 -0.004 0.062
ttt_playerspawn	1673.9496 -285.2042 560.4961	0.266 -93.785 0.254
ttt_playerspawn	855.0683 -710.9999 560.4581	0.138 0.023 0.171
ttt_playerspawn	1112.5978 -1886.8958 320.4682	-0.011 -0.000 0.011
ttt_playerspawn	-180.9396 -587.9517 168.4201	-0.032 -0.000 0.032
ttt_playerspawn	-1265.2140 1558.4269 168.4571	0.042 -0.130 0.098
ttt_playerspawn	-480.7246 1789.1992 272.4179	0.028 0.000 0.028
ttt_playerspawn	99.9135 967.3670 285.3896	-2.012 -0.665 0.818
ttt_playerspawn	181.2411 -25.0432 292.4445	0.077 108.981 -0.004
ttt_playerspawn	1098.8756 160.6895 288.5928	-0.358 -0.010 0.314
ttt_playerspawn	747.0991 -725.4669 416.4085	-0.037 -0.000 0.037
ttt_playerspawn	1280.5635 -1058.7788 272.4237	-0.031 -0.000 0.031
ttt_playerspawn	1094.3118 -627.4763 272.4266	0.136 0.051 -0.135
ttt_playerspawn	1300.8552 -121.9556 416.4784	0.034 21.158 -0.034
ttt_playerspawn	698.4735 -301.6652 272.4875	0.003 -100.385 0.042
weapon_zm_rifle	881.9932 -688.7786 561.4002	3.434 -13.352 65.439
weapon_zm_rifle	122.2193 916.3341 286.3286	2.400 9.861 64.916
weapon_zm_rifle	1138.5735 -1919.8533 321.3564	3.325 17.165 65.007
weapon_zm_rifle	890.1588 1794.1168 304.9927	-22.187 8.765 137.374
weapon_zm_rifle	-187.8127 -738.7751 331.9806	-3.609 8.283 -64.995
weapon_zm_rifle	1062.6769 -1152.7722 561.3519	3.276 13.171 65.017
weapon_zm_rifle	-1000.1586 1705.1078 169.3598	3.357 10.348 65.277
weapon_ttt_smokegrenade	1666.4303 -317.0657 564.5953	2.540 -0.130 -2.624
weapon_ttt_smokegrenade	1160.6036 -936.1747 276.5355	1.635 0.008 -1.488
weapon_ttt_smokegrenade	1182.2743 -786.6412 564.5679	3.269 -0.145 -3.379
weapon_ttt_smokegrenade	1144.8522 -789.8622 564.5367	2.391 -0.005 -2.308
weapon_ttt_confgrenade	841.2237 -686.2252 563.5427	1.412 0.226 1.211
weapon_ttt_confgrenade	1294.1736 -1087.0879 275.5799	1.009 0.223 -0.422
weapon_ttt_confgrenade	1253.0765 -199.8854 290.0331	-13.806 -32.569 95.298
weapon_ttt_confgrenade	1259.3113 -196.0564 290.1695	86.844 -0.572 -8.931
