# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_equilibre
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-788.7715 -2495.7568 692.2820	-5.149 -35.513 -97.098
weapon_zm_pistol	263.6526 560.8726 199.5096	3.333 32.317 86.402
weapon_zm_pistol	-1713.0482 899.9924 -143.6387	0.511 45.231 91.434
weapon_zm_pistol	-2701.4666 -1517.9175 -81.7132	0.018 35.158 87.903
item_ammo_pistol_ttt	-3294.9060 -565.8859 -85.6080	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	-3281.6633 -569.4909 -85.6217	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-3268.9890 -566.8174 -85.5814	-0.070 -0.020 -0.021
item_ammo_pistol_ttt	-2902.5381 1436.2324 -92.6816	0.117 -0.102 -3.035
item_ammo_pistol_ttt	-2897.4766 1412.9131 -92.5756	-0.065 -0.020 -0.020
item_ammo_pistol_ttt	-2884.3396 1415.0875 -92.6643	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	106.8074 1130.6886 199.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	96.6237 1131.6359 199.4506	0.163 -0.057 0.011
item_ammo_pistol_ttt	84.6673 1136.9008 199.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-771.4265 -2521.4832 694.1837	0.349 1.486 -6.597
item_ammo_pistol_ttt	-755.6675 -2522.3301 695.4356	-0.302 0.859 -14.450
item_ammo_pistol_ttt	-761.0974 -2501.2561 691.9211	0.057 1.276 -6.527
item_ammo_pistol_ttt	-2117.5378 -1264.1653 419.3503	0.025 0.030 0.007
item_ammo_pistol_ttt	-2102.2271 -1257.5072 419.3738	0.053 -0.016 0.030
item_ammo_pistol_ttt	-2101.3398 -1238.6655 419.4473	0.645 -0.364 -0.223
item_ammo_pistol_ttt	-1683.3159 897.7239 -143.5816	0.170 1.584 -0.017
item_ammo_pistol_ttt	-1699.3601 898.4249 -143.5383	0.248 -0.786 0.128
item_ammo_pistol_ttt	-1701.3245 914.1367 -137.6503	0.498 -0.034 -41.890
item_ammo_pistol_ttt	-203.0238 -738.2439 -82.6168	0.016 -0.031 -0.000
item_ammo_pistol_ttt	-193.3599 -738.2492 -82.5793	0.012 -0.031 0.000
item_ammo_pistol_ttt	-179.8995 -736.0193 -82.6427	-0.128 0.017 0.014
item_ammo_pistol_ttt	-1521.9757 -1377.8755 552.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-1534.7372 -1375.3621 552.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-1536.8633 -1356.9364 552.4576	-0.164 0.503 -0.321
item_ammo_pistol_ttt	-1957.9547 -2354.2866 385.4118	-0.193 0.055 -0.246
item_ammo_pistol_ttt	-1963.9896 -2345.7131 385.4316	-0.380 0.169 -0.560
item_ammo_pistol_ttt	-1970.0265 -2362.9465 385.4478	-0.581 0.208 -0.519
item_ammo_pistol_ttt	-1984.4224 -2336.3711 251.4885	-0.357 8.475 -0.049
item_ammo_pistol_ttt	-1966.6969 -2330.4402 254.3624	7.365 -3.575 -8.731
item_ammo_pistol_ttt	260.6250 579.0945 199.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	254.5271 571.4440 199.4713	-0.274 0.021 -0.262
item_ammo_pistol_ttt	-2707.8293 -1519.5908 -81.5896	-0.053 0.011 -0.016
item_ammo_pistol_ttt	-2684.6143 -1513.2985 -81.5697	-0.058 0.026 0.009
item_ammo_pistol_ttt	-2699.2561 -1491.9962 -81.6644	-0.082 0.018 -0.016
weapon_zm_revolver	-1828.9451 1240.6910 -17.1006	2.587 -20.497 -83.230
weapon_zm_revolver	284.7560 1123.3619 200.9048	2.573 -20.509 -83.368
weapon_zm_revolver	1405.4316 -959.9654 34.7412	2.481 -22.458 -84.888
weapon_zm_revolver	-2189.6055 -2509.3440 156.9372	2.353 -19.389 -84.425
weapon_zm_revolver	-453.0917 -162.0976 161.9048	2.573 -20.509 -83.368
weapon_zm_revolver	-599.9102 -2517.4087 566.3502	0.183 -22.273 -89.233
weapon_zm_revolver	-410.4814 -1306.1143 323.8935	2.603 -20.483 -83.082
weapon_zm_revolver	63.3515 -1180.3907 -23.0505	-6.907 -20.118 -76.659
ttt_random_weapon	-2149.6499 -2502.7620 112.2048	1.822 4.776 -92.719
item_ammo_smg1_ttt	-2829.0696 1418.2412 -92.5714	-0.665 0.003 0.434
item_ammo_smg1_ttt	-2845.1404 1419.0254 -92.5983	-0.170 0.005 0.102
item_ammo_smg1_ttt	-2209.7463 -2509.2434 251.3864	0.088 -0.005 0.046
item_ammo_smg1_ttt	-2187.1807 -2500.5784 251.5095	-0.671 0.116 -0.171
item_ammo_smg1_ttt	-415.3408 -186.5734 160.5089	-0.213 0.042 -0.232
item_ammo_smg1_ttt	-427.1235 -205.3622 160.5139	-0.885 0.388 -0.253
item_ammo_smg1_ttt	-2682.7627 -2359.0571 0.1966	0.800 -0.149 -0.054
item_ammo_smg1_ttt	-2655.3381 -2348.8118 0.8518	10.633 -2.114 -0.139
item_ammo_smg1_ttt	-559.5148 -2563.7249 570.1970	-0.020 0.274 -6.643
