# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_island18b3
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-1276.6031 720.5643 -480.7046	1.401 -24.392 -88.354
weapon_zm_pistol	-2556.9912 -1192.1923 -459.1452	-7.287 43.045 95.142
weapon_zm_pistol	-1533.9465 -693.6965 -183.7917	-0.054 36.209 89.356
weapon_zm_pistol	-2004.2770 1681.7979 -486.4757	-6.909 -39.260 -94.572
weapon_zm_pistol	-2032.5948 1683.2175 -487.8763	-6.666 -38.374 -95.023
weapon_zm_pistol	-2040.8510 1685.8280 -488.8518	-14.217 -33.959 -93.431
weapon_zm_pistol	-1427.2867 994.3025 -255.9563	-4.893 36.502 95.522
weapon_zm_pistol	-2056.3071 1003.1016 -157.8595	0.107 37.155 89.629
item_ammo_pistol_ttt	-2067.0637 1106.7821 -239.5097	1.604 -1.429 -0.465
item_ammo_pistol_ttt	-2046.2727 918.0013 -87.0976	-66.514 -178.811 -128.606
item_ammo_pistol_ttt	-711.4372 -1354.4182 -332.5103	-0.138 -0.019 -0.040
item_ammo_pistol_ttt	-723.9353 -1357.9071 -332.4482	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	-1572.0376 -785.1926 -319.5359	0.051 -0.726 0.002
item_ammo_pistol_ttt	-1596.6833 -777.7390 -319.5611	-0.179 -1.527 -0.001
item_ammo_pistol_ttt	-2300.9761 1682.3505 -490.5320	2.362 0.295 -8.810
item_ammo_pistol_ttt	-2315.5923 1668.8715 -487.6546	2.713 0.226 -8.776
item_ammo_pistol_ttt	-2328.1519 1657.3701 -485.2488	2.128 0.351 -8.832
item_ammo_pistol_ttt	-2339.6592 1646.8022 -482.9734	4.261 -1.740 -9.160
item_ammo_pistol_ttt	-2349.9456 1636.8063 -481.9757	-1.276 0.013 -6.224
item_ammo_pistol_ttt	-2359.1729 1627.8750 -481.3318	-1.213 0.005 -6.238
item_ammo_pistol_ttt	-2294.4895 1660.0286 -487.4188	2.660 0.235 -8.781
item_ammo_pistol_ttt	-2311.0740 1644.2509 -484.1187	2.414 0.283 -8.805
item_ammo_pistol_ttt	-2321.9001 1632.4427 -481.7452	2.041 0.391 -8.840
item_ammo_pistol_ttt	-2333.3752 1620.0554 -479.6406	-0.952 -0.056 -6.433
item_ammo_pistol_ttt	-2342.9907 1610.9446 -478.9921	-1.267 0.012 -6.226
item_ammo_pistol_ttt	-1427.7999 984.4796 -257.2460	-0.194 -1.221 8.537
item_ammo_pistol_ttt	204.4016 1078.3964 -183.7210	-7.464 2.168 3.286
item_ammo_pistol_ttt	210.6074 1066.5298 -183.6505	-7.046 -9.662 4.645
item_ammo_pistol_ttt	-2320.4814 970.3465 -275.8203	-1.573 -0.159 0.056
item_ammo_pistol_ttt	-2306.3755 973.6809 -275.4443	-1.552 -0.162 0.054
item_ammo_pistol_ttt	-359.3222 1668.6110 71.1972	0.240 -1.334 -16.429
item_ammo_pistol_ttt	-362.6266 1692.0162 64.3039	-2.412 -8.806 -16.322
item_ammo_pistol_ttt	-359.2187 1735.7087 64.4810	-4.304 -17.312 168.256
item_ammo_pistol_ttt	-1510.9382 111.3911 -312.0271	-43.888 -5.263 7.047
item_ammo_pistol_ttt	-1522.3472 108.7794 -314.2029	-10.764 -0.878 8.818
item_ammo_pistol_ttt	-1541.7596 105.6338 -315.0107	-77.237 -137.867 140.112
item_ammo_pistol_ttt	-2208.2041 152.7332 -446.5412	-3.525 0.386 2.045
item_ammo_pistol_ttt	-2214.7068 139.8283 -446.8296	-2.109 -0.327 -3.544
item_ammo_pistol_ttt	-2221.2644 150.0544 -447.3652	0.606 -0.245 -1.911
item_ammo_pistol_ttt	-1583.4877 -774.4037 -317.4847	-46.068 -1.865 0.060
item_ammo_pistol_ttt	-17.2937 71.7753 32.3708	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	-18.5769 93.6713 32.4041	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	-18.0216 112.4590 32.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-67.3532 83.9749 800.3802	0.023 0.031 0.003
item_ammo_pistol_ttt	-56.7730 79.4703 800.4234	0.015 0.031 0.002
item_ammo_pistol_ttt	-51.8331 100.5888 800.3588	0.028 0.031 0.004
item_ammo_pistol_ttt	-1120.2471 885.1278 -63.6033	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-1132.9956 884.6188 -63.5864	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	-1137.6887 902.9629 -63.5690	-0.557 0.499 -0.622
item_ammo_pistol_ttt	283.7265 1791.0673 3.8581	74.117 -135.773 -141.444
item_ammo_pistol_ttt	307.4295 1795.1609 -2.2162	80.005 -157.043 -154.149
item_ammo_pistol_ttt	303.9034 1801.0244 -4.7601	10.122 -3.730 -2.909
item_ammo_pistol_ttt	-2339.6399 -1347.5668 -470.9995	-5.660 0.485 3.962
item_ammo_pistol_ttt	-2346.7498 -1360.2336 -472.4336	-4.846 -1.921 4.164
item_ammo_pistol_ttt	-2353.6709 -1377.7443 -474.2084	-4.511 -0.033 4.006
item_ammo_pistol_ttt	-1815.0179 767.1151 -239.6642	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-1807.0349 785.4250 -239.5397	0.066 -0.038 -0.010
item_ammo_pistol_ttt	-1785.5967 761.3206 -239.5429	-0.456 0.141 -0.392
weapon_zm_revolver	-1303.5640 -600.7318 -318.1103	1.730 0.522 -86.264
weapon_zm_revolver	-1470.7590 -748.1072 62.8812	-13.856 -58.384 -58.666
weapon_zm_revolver	703.9788 -146.7646 -2.0772	2.525 -20.545 -83.825
weapon_zm_revolver	-1058.1830 858.9857 193.9171	2.540 -20.536 -83.681
weapon_zm_revolver	-793.2153 347.2942 -291.9059	-0.131 -21.077 -81.105
ttt_random_weapon	-1308.1266 -470.4161 -182.7854	1.711 4.769 -92.973
ttt_random_weapon	-268.2223 -151.5698 25.2001	1.874 4.930 -92.601
ttt_random_weapon	-229.8240 -66.0936 25.2063	1.805 4.928 -92.758
ttt_random_weapon	-2355.9009 -385.1373 -448.0808	-0.411 -1.554 -92.726
ttt_random_weapon	-2389.8572 -380.0719 -448.9626	0.311 3.980 -92.604
