# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_richland
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	972.6192 1660.3990 252.4903	-0.119 36.617 88.482
weapon_zm_pistol	580.7159 -5.9019 308.2321	-0.098 36.381 88.220
weapon_zm_pistol	-676.9825 -2.5807 308.2165	-0.078 35.987 88.938
weapon_zm_pistol	-571.6926 391.5691 223.4149	-0.158 -21.865 -88.368
weapon_zm_pistol	-589.7266 386.0805 223.4008	-0.343 -21.973 -88.515
weapon_zm_pistol	479.7956 -229.7307 177.4463	0.147 -0.086 -88.385
weapon_zm_pistol	481.8147 -272.4882 177.4095	-0.323 0.287 -88.469
weapon_zm_pistol	-507.8832 -113.6389 59.5476	-0.478 -17.731 -90.454
weapon_zm_pistol	140.6006 -1025.1702 32.5056	-0.974 -7.005 91.379
weapon_zm_pistol	140.4833 -1036.6028 32.5110	-0.566 -7.054 91.770
weapon_zm_pistol	557.5740 1494.5762 18.4119	-0.238 -23.293 -88.637
weapon_zm_pistol	560.5549 1505.9088 18.5177	-0.308 -23.254 -89.529
weapon_zm_pistol	-905.0545 346.6033 177.7547	0.000 0.000 0.000
weapon_zm_pistol	-735.5952 -262.6305 85.7221	0.000 0.000 0.000
weapon_zm_pistol	228.6961 1576.3146 -62.2453	0.000 0.000 0.000
weapon_zm_pistol	-1054.7104 1567.8372 41.7547	0.000 0.000 0.000
item_ammo_pistol_ttt	688.4348 573.0976 -127.5314	0.610 7.148 -0.001
item_ammo_pistol_ttt	-693.0406 571.5153 -127.5287	0.551 6.781 0.000
item_ammo_pistol_ttt	-764.7932 432.3773 308.4500	-0.982 1.370 -0.001
item_ammo_pistol_ttt	764.4409 -429.6400 308.4370	-1.244 1.336 -0.001
item_ammo_pistol_ttt	647.5551 -53.1176 568.4078	0.462 -0.655 -0.040
item_ammo_pistol_ttt	-641.9246 -52.1527 568.4020	0.490 -0.654 -0.042
item_ammo_pistol_ttt	48.5021 52.9002 -124.7907	89.871 10.932 11.684
item_ammo_pistol_ttt	524.0803 -289.1862 231.4527	-0.029 1.074 -0.309
item_ammo_pistol_ttt	523.0284 -375.2505 231.4740	0.500 1.130 -0.001
item_ammo_pistol_ttt	-1071.4727 1572.0222 40.4130	-1.750 6.730 -0.005
item_ammo_pistol_ttt	1003.6221 1649.0227 252.6159	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	996.0629 1653.2120 252.5968	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	989.3522 1656.3690 252.6596	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	523.4113 -267.9446 231.3114	0.000 0.000 0.000
item_ammo_pistol_ttt	-1014.4466 246.2513 207.8097	0.000 0.000 0.000
item_ammo_pistol_ttt	-1006.0844 247.1331 207.8100	0.000 0.000 0.000
item_ammo_pistol_ttt	-997.8428 247.7008 207.8102	0.000 0.000 0.000
item_ammo_pistol_ttt	-1007.5893 -454.3217 16.3114	0.000 0.000 0.000
item_ammo_pistol_ttt	-997.4357 -452.1010 16.3114	0.000 0.000 0.000
item_ammo_pistol_ttt	-1017.0517 -450.6893 16.3114	0.000 0.000 0.000
item_ammo_pistol_ttt	-600.1039 -121.5529 58.4431	0.000 0.000 0.000
item_ammo_pistol_ttt	148.9450 -1059.9712 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	140.9760 -1058.9158 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	131.7896 -1057.3143 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	148.2395 -1010.4608 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	139.2739 -1010.3870 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	130.5886 -1010.1168 32.5100	0.000 0.000 0.000
item_ammo_pistol_ttt	-292.2107 1587.8319 -63.6886	0.000 0.000 0.000
item_ammo_pistol_ttt	-302.1530 1588.9164 -63.6886	0.000 0.000 0.000
