# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_arctic_complex
# Exported by: Captain British
setting:	replacespawns 1
weapon_zm_pistol	1666.3081 -560.2471 -218.8138	-0.084 24.798 88.644
weapon_zm_pistol	2120.6223 -1833.2108 166.8109	-0.460 -37.012 -90.506
weapon_zm_pistol	2106.5056 -1075.6372 34.3250	0.054 35.414 89.301
weapon_zm_pistol	-716.0727 -2277.5859 35.5640	-0.195 -36.816 -89.663
weapon_zm_pistol	-423.9071 -1261.7275 -1366.3184	-0.260 -37.970 -90.180
weapon_zm_pistol	-1006.4758 -565.7426 -1374.0441	0.230 36.388 89.084
weapon_zm_pistol	-1083.0043 -730.4946 -1352.2820	-0.683 -128.954 -91.333
weapon_zm_pistol	-1762.5677 1762.1008 0.3468	-0.047 35.947 89.260
weapon_zm_pistol	2510.4287 -1870.3452 52.4488	3.005 -39.458 -92.912
weapon_zm_pistol	1371.0973 -1818.9253 27.6781	-4.738 124.719 -91.560
weapon_zm_pistol	3566.4836 -643.4595 768.3177	-0.087 35.987 88.772
weapon_zm_pistol	2377.6189 -2357.1934 163.5720	-0.123 36.013 88.324
weapon_zm_pistol	2050.6035 1445.0903 0.3559	0.526 36.674 88.973
weapon_zm_pistol	1517.9756 1368.8529 35.5097	-0.571 -35.697 -90.128
weapon_zm_pistol	-1002.7352 -310.6451 -1550.8719	-0.527 36.389 92.298
item_ammo_pistol_ttt	1677.4388 -576.1737 -218.5378	0.001 0.241 0.001
item_ammo_pistol_ttt	1670.8967 -575.9993 -218.5843	-0.097 0.659 -0.013
item_ammo_pistol_ttt	2114.9316 -1826.0453 165.6055	0.132 -0.034 -0.034
item_ammo_pistol_ttt	2135.3335 -1071.2015 34.3946	0.147 0.058 -0.293
item_ammo_pistol_ttt	2149.8635 -1070.9111 34.3408	0.316 0.163 -0.335
item_ammo_pistol_ttt	-727.9253 -2271.5361 34.4300	-0.279 -0.720 -0.004
item_ammo_pistol_ttt	-720.8893 -2268.1812 34.7929	6.320 -4.907 0.065
item_ammo_pistol_ttt	1567.5875 -1925.8569 18.6964	0.079 -0.057 -0.109
item_ammo_pistol_ttt	1575.5172 -1925.1434 18.7115	0.089 0.021 -0.021
item_ammo_pistol_ttt	-332.3112 2476.8931 0.3801	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-315.8978 2474.2034 0.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	1033.1389 -2862.9990 0.4826	0.844 -0.160 -0.168
item_ammo_pistol_ttt	1023.1423 -2861.4412 0.4726	-0.800 0.204 0.090
item_ammo_pistol_ttt	-429.5104 -1264.7008 -1367.4514	-0.083 -0.005 -0.039
item_ammo_pistol_ttt	-998.5017 -1030.6377 -1373.9376	-0.221 0.483 -0.012
item_ammo_pistol_ttt	-999.4988 -539.9339 -1374.0143	0.019 0.035 0.003
item_ammo_pistol_ttt	-1099.2694 -746.8513 -1353.3422	-0.603 -1.724 0.001
item_ammo_pistol_ttt	-1111.1346 -747.4897 -1353.4496	-0.128 -0.020 -0.035
item_ammo_pistol_ttt	1530.5980 -1981.3829 172.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	1533.4587 -1958.0277 172.4150	0.017 0.031 0.002
item_ammo_pistol_ttt	-1778.6135 -2778.3955 128.4330	0.186 12.165 0.179
item_ammo_pistol_ttt	-1774.9388 -2777.1775 131.3246	89.235 168.756 156.608
item_ammo_pistol_ttt	-1768.7999 1779.6932 0.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-1735.1962 1774.2540 0.3148	-0.161 -0.017 -0.049
item_ammo_pistol_ttt	2510.3855 -1861.1875 52.0877	-12.058 -0.140 0.145
