# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_camel_v1
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-671.8315 -4.0825 159.1746	-0.105 -35.606 -89.204
weapon_zm_pistol	-558.0187 -618.8348 167.3524	-0.683 36.891 91.094
weapon_zm_pistol	-356.5456 -607.2808 552.6412	0.038 -35.859 -89.841
weapon_zm_pistol	-293.0536 1420.3802 182.1122	0.169 35.362 89.525
weapon_zm_pistol	-498.7901 1363.0952 32.8101	0.138 -38.781 -88.253
weapon_zm_pistol	-781.7658 1400.3793 -215.4857	0.281 -35.919 -88.315
item_ammo_pistol_ttt	9.7924 -3432.6409 776.3782	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	0.3233 -3451.6743 776.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	12.9568 -3451.1497 776.4417	-0.529 0.504 -0.539
item_ammo_pistol_ttt	332.1752 -3441.5742 648.4136	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	351.6151 -3436.6519 648.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	364.9713 -3433.3787 648.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	487.3470 -2905.4033 160.3657	0.086 -0.026 -0.004
item_ammo_pistol_ttt	498.0930 -2905.3289 160.3892	0.070 -0.027 -0.002
item_ammo_pistol_ttt	513.0665 -2907.2063 160.3617	0.137 -0.023 0.004
item_ammo_pistol_ttt	524.8331 -2906.3662 160.4010	0.070 -0.022 -0.007
item_ammo_pistol_ttt	537.1415 -2906.4937 160.3819	0.085 -0.021 -0.008
item_ammo_pistol_ttt	548.9868 -2907.4150 160.3471	0.146 -0.022 -0.007
item_ammo_pistol_ttt	1309.5425 -309.1039 35.6325	-47.723 160.362 -158.533
item_ammo_pistol_ttt	1295.7930 -303.0888 30.4733	-75.011 -157.896 132.099
item_ammo_pistol_ttt	1296.4772 -302.7795 33.7761	0.316 0.092 12.581
item_ammo_pistol_ttt	-683.4558 -37.9079 158.1961	0.415 -0.333 -0.092
item_ammo_pistol_ttt	-672.6666 -39.5137 158.0885	0.658 0.510 0.036
item_ammo_pistol_ttt	-685.8505 -88.6003 158.2078	-0.128 -0.389 0.014
item_ammo_pistol_ttt	-671.2715 -90.3397 158.1310	-0.177 -0.020 0.011
item_ammo_pistol_ttt	-532.9061 -616.6517 167.3639	0.035 -0.018 0.017
item_ammo_pistol_ttt	-361.8410 -583.9376 551.5624	0.046 -0.046 -0.000
item_ammo_pistol_ttt	-372.8096 -582.2832 551.5673	0.011 0.035 0.000
item_ammo_pistol_ttt	-348.9795 -752.7466 -254.2199	-27.718 0.305 0.346
item_ammo_pistol_ttt	-359.6465 -750.6419 -255.6113	-0.416 0.135 0.014
