# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_canyon_a4
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-1470.9723 -2173.8860 704.2453	-0.586 35.369 88.717
weapon_zm_pistol	-2617.0916 -975.9743 448.3282	0.373 36.883 88.500
weapon_zm_pistol	41.4447 74.8880 1153.5433	0.236 0.220 -88.877
weapon_zm_pistol	-1274.4843 986.2986 1536.2679	-0.154 36.021 87.937
weapon_zm_pistol	-1617.9009 1002.8647 704.3320	0.345 36.881 88.598
weapon_zm_pistol	-1649.2380 953.4203 944.3666	0.106 36.798 89.463
item_ammo_pistol_ttt	-839.7584 -1730.3062 448.3565	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-845.9303 -1743.0647 448.4544	-0.449 0.278 -0.427
item_ammo_pistol_ttt	-851.9780 -1741.0840 448.4199	-0.051 0.001 0.005
item_ammo_pistol_ttt	-542.4478 -2035.0880 704.4404	-0.700 0.103 -0.601
item_ammo_pistol_ttt	-549.7368 -2031.6394 704.3782	-0.105 -0.019 -0.032
item_ammo_pistol_ttt	-559.2086 -2029.6648 704.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-1493.7211 -2254.7634 704.3499	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-1476.8505 -2229.6851 704.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-1455.9431 -2220.4666 704.4349	-0.464 0.188 -0.551
item_ammo_pistol_ttt	-2585.6296 -1006.0229 448.4027	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	-2597.0557 -1000.4038 448.3708	-0.112 -0.020 -0.034
item_ammo_pistol_ttt	-2612.7122 -994.3274 448.3307	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-4562.6870 -986.3737 704.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-4548.3154 -990.9578 704.4032	0.451 -0.120 0.079
item_ammo_pistol_ttt	-4542.2988 -1004.5433 704.4018	-0.215 -0.177 -0.372
item_ammo_pistol_ttt	-1798.0637 1312.7433 1152.3688	0.114 0.020 -0.034
item_ammo_pistol_ttt	-1779.9675 1299.5111 1152.3982	0.088 0.020 -0.027
item_ammo_pistol_ttt	-1767.8929 1295.1943 1152.3853	0.099 0.020 -0.030
item_ammo_pistol_ttt	17.3529 48.4922 1152.4556	-0.038 -0.020 -0.011
item_ammo_pistol_ttt	-11.6607 59.2116 1152.3647	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-17.7734 56.7872 1152.4351	-0.700 0.052 -0.628
item_ammo_pistol_ttt	-1284.6954 980.7485 1536.4160	-0.485 -0.019 0.121
item_ammo_pistol_ttt	-1290.7305 967.6015 1536.4442	0.236 0.414 -0.431
item_ammo_pistol_ttt	-262.8254 -11.6546 704.3688	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	-266.7138 9.6146 704.4534	0.227 0.006 0.060
item_ammo_pistol_ttt	-260.5960 9.4341 704.4515	-0.132 0.015 -0.211
item_ammo_pistol_ttt	-232.0315 -232.6911 1152.3745	-0.109 -0.019 -0.033
item_ammo_pistol_ttt	-231.8950 -251.0822 1152.4648	-0.285 0.147 -0.311
item_ammo_pistol_ttt	-234.7385 -269.4760 1152.4341	-0.374 0.787 -0.542
item_ammo_pistol_ttt	-1597.8032 999.9916 704.3709	0.025 0.031 0.004
item_ammo_pistol_ttt	-1604.4124 994.9579 704.3969	0.020 0.031 0.003
item_ammo_pistol_ttt	-1610.4225 985.9434 704.4003	0.461 0.015 -0.096
item_ammo_pistol_ttt	-1691.3253 920.6332 944.4503	-0.174 0.108 0.085
item_ammo_pistol_ttt	-1685.2560 933.3842 944.4694	-0.075 0.853 -0.008
item_ammo_pistol_ttt	-1675.9866 946.6196 945.6044	-19.029 0.291 -1.866
item_ammo_pistol_ttt	449.2201 1118.7506 1152.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	423.5642 1096.3121 1152.3542	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	417.4329 1079.1901 1152.4515	-0.381 0.255 -0.421
item_ammo_pistol_ttt	-1011.4592 -1714.6057 578.7339	-0.280 7.397 14.684
item_ammo_pistol_ttt	-1035.0938 -1712.9397 576.3203	-0.156 -0.017 -0.047
weapon_zm_revolver	-1493.4856 -2037.1740 449.8434	2.130 -18.866 -83.735
weapon_zm_revolver	-3770.0264 -982.4495 705.8829	2.472 -20.316 -83.075
weapon_zm_revolver	17.7363 472.2457 705.9076	2.604 -19.636 -83.350
weapon_zm_revolver	-263.1814 1367.1459 1595.5667	0.586 -21.326 -85.004
weapon_zm_revolver	-86.3953 -2272.5684 577.8433	2.130 -18.866 -83.735
