# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_concrete_b3
# Exported by: Metapyziks
setting:	replacespawns 0
weapon_zm_pistol	-501.7031 779.6131 352.1411	0.015 35.145 88.274
weapon_zm_pistol	-1217.2451 1306.0405 144.3116	-0.095 35.998 88.670
weapon_zm_pistol	-2002.1375 395.8474 360.0158	-0.559 35.368 88.767
weapon_zm_pistol	-2024.8444 1462.7076 512.2854	0.018 35.157 87.873
weapon_zm_pistol	-2127.0566 2335.3096 144.3037	-0.106 36.004 88.538
weapon_zm_pistol	-862.7108 2824.9270 224.3397	0.293 36.872 88.790
weapon_zm_pistol	-283.2106 2637.4695 377.9683	0.166 -46.057 -87.828
weapon_zm_pistol	465.4277 760.7404 272.2963	-0.116 36.009 88.414
weapon_zm_pistol	-1781.8163 297.4750 304.2937	-0.119 36.013 88.370
item_ammo_pistol_ttt	-482.4436 788.2451 352.2431	-0.378 0.042 -0.068
item_ammo_pistol_ttt	-1231.3270 1308.2527 144.3711	0.075 -0.039 0.002
item_ammo_pistol_ttt	-2015.4642 396.9686 360.1145	-0.127 -0.020 -0.031
item_ammo_pistol_ttt	-2008.8076 1482.7628 512.3836	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	-2134.6189 2348.1692 144.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-870.6802 2840.3552 224.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-281.8357 2618.4993 377.0005	-0.015 -0.649 0.022
item_ammo_pistol_ttt	465.4901 747.7745 272.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	175.2355 429.0044 304.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-610.3206 1663.6543 122.3777	0.793 0.008 3.709
item_ammo_pistol_ttt	-1730.9832 2585.7778 144.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	-1904.1365 450.4667 512.4069	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	-351.2578 2527.7803 224.3727	-0.110 -0.020 -0.033
item_ammo_pistol_ttt	-753.8663 2032.4611 132.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-731.9972 2031.8785 132.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-446.3025 708.1220 304.4041	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	-466.8434 711.0699 304.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	-926.9737 1061.8248 64.3408	0.031 0.030 0.005
item_ammo_pistol_ttt	-932.3879 1008.6639 64.3709	0.025 0.031 0.004
item_ammo_pistol_ttt	-613.9891 2539.7024 512.3148	-0.161 -0.017 -0.049
item_ammo_pistol_ttt	-633.3427 2544.9873 515.2791	-89.787 179.500 -179.998
