# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_district_a5
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-725.6102 3045.8438 224.2645	-0.503 35.367 88.876
weapon_zm_pistol	-919.5605 166.7469 216.2390	-0.612 35.368 88.665
weapon_zm_pistol	555.8335 1723.1077 81.4112	-0.213 -46.013 -88.747
weapon_zm_pistol	890.8094 667.2870 81.4828	2.563 31.096 88.200
weapon_zm_pistol	655.2724 2000.1899 272.3049	-0.104 36.004 88.558
weapon_zm_pistol	440.1013 2833.1724 137.7147	37.611 -12.947 -20.804
weapon_zm_pistol	447.9442 2953.7839 137.6062	33.533 -19.317 -32.529
weapon_zm_pistol	427.5808 3072.0618 135.5807	11.540 -0.722 -1.451
weapon_zm_pistol	433.6078 2712.0640 135.5869	11.711 -0.743 -1.500
item_ammo_pistol_ttt	-968.3118 2878.4805 512.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-982.4515 2876.1521 512.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-993.6821 2871.9983 512.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-1311.4092 1994.4845 464.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-1288.5867 1988.3207 464.4123	-0.076 -0.020 -0.023
item_ammo_pistol_ttt	-1271.0524 1991.5098 464.3382	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-1220.6935 2708.9468 368.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-1207.1764 2707.6184 368.3176	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	-1197.9792 2699.2188 368.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-743.7179 3057.6150 224.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-726.5969 3061.3457 224.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-713.4821 3065.8611 224.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	645.7431 2326.9185 272.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	637.0606 2339.9692 272.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	630.6713 2359.1211 272.4499	-1.195 0.282 -0.647
item_ammo_pistol_ttt	-921.8568 164.1232 216.3635	-0.234 -0.024 -0.090
item_ammo_pistol_ttt	-927.9684 179.1636 216.4382	-0.403 0.132 -0.514
item_ammo_pistol_ttt	-934.0970 180.1596 216.4323	-0.245 0.402 -0.511
item_ammo_pistol_ttt	-714.9963 665.9275 176.3770	-0.108 0.017 0.012
item_ammo_pistol_ttt	-721.2189 664.3141 176.3785	-0.045 0.033 -0.009
item_ammo_pistol_ttt	-728.7069 663.8672 176.4022	-0.045 0.020 -0.009
item_ammo_pistol_ttt	536.8729 1753.8221 111.5555	-0.229 -0.579 0.002
item_ammo_pistol_ttt	554.2145 1751.4656 111.5075	0.095 0.019 -0.025
item_ammo_pistol_ttt	574.9942 1747.3075 111.4526	-0.128 -0.022 -0.022
item_ammo_pistol_ttt	879.8488 648.0133 81.4027	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	871.2263 654.7411 81.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	866.0504 634.7377 81.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	542.0356 1100.0907 337.4607	-0.957 0.082 -0.540
