# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_uss_scratchums
# Exported by: LeetPete
setting:	replacespawns 0
weapon_zm_pistol	-2334.1589 2475.2673 602.3265	0.384 36.883 88.458
weapon_zm_pistol	-2362.1885 -388.9702 532.3435	0.780 36.685 88.551
weapon_zm_pistol	-2339.3787 226.4988 654.0473	0.474 36.667 89.061
weapon_zm_pistol	-2445.2271 1570.2974 525.3606	0.432 36.653 89.129
weapon_zm_pistol	-2544.3938 1567.0529 525.3560	0.526 36.674 88.973
weapon_zm_pistol	-2591.0598 1516.9159 220.2678	-0.154 36.020 87.937
item_ammo_pistol_ttt	-2337.8391 -572.7531 348.4515	-0.041 -0.020 -0.013
item_ammo_pistol_ttt	-2326.3743 -573.9719 348.3607	-0.121 -0.019 -0.037
item_ammo_pistol_ttt	-2230.1331 330.0321 452.0356	11.208 14.982 -0.107
item_ammo_pistol_ttt	-2236.6277 324.1924 451.4836	-0.668 6.814 -0.005
item_ammo_pistol_ttt	-2242.6335 320.6229 451.4121	0.419 5.068 -0.059
item_ammo_pistol_ttt	-2282.8889 318.3850 423.3211	89.352 -156.833 -161.500
item_ammo_pistol_ttt	-2252.8318 318.3605 451.4464	-0.520 6.670 -0.034
item_ammo_pistol_ttt	-2229.0652 -159.0665 420.4549	-0.893 12.239 0.004
item_ammo_pistol_ttt	-2242.8767 -219.4343 420.4414	-0.160 1.027 -0.425
item_ammo_pistol_ttt	-2232.7710 -218.2131 420.3853	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-2681.1790 1773.8792 356.3727	-0.110 -0.020 -0.033
item_ammo_pistol_ttt	-2689.1685 1751.1523 356.3746	-0.109 -0.020 -0.033
item_ammo_pistol_ttt	-2696.9546 1772.6923 356.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-2321.8564 2084.6052 954.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-2318.9824 2103.2454 954.4230	-0.231 0.247 -0.302
item_ammo_pistol_ttt	-2309.6582 2106.5393 954.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-2352.6462 2493.3872 602.4872	-0.153 -0.183 -0.124
item_ammo_pistol_ttt	-2348.2476 2475.1250 602.4417	0.015 1.034 0.024
item_ammo_pistol_ttt	-2359.9419 2480.4634 602.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-2372.3752 -386.8661 532.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-2357.2932 -374.3940 532.3406	0.138 0.019 -0.042
item_ammo_pistol_ttt	-2363.0891 590.7727 784.5910	0.148 0.018 -0.042
item_ammo_pistol_ttt	-2353.5352 572.5189 784.6355	0.109 0.020 -0.031
item_ammo_pistol_ttt	-2331.6702 558.8663 784.6481	0.098 0.020 -0.028
item_ammo_pistol_ttt	-2245.0845 2424.9922 348.3382	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-2252.6750 2435.6277 348.3256	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	-2258.8650 2417.5420 348.4457	-0.393 0.933 -0.472
item_ammo_pistol_ttt	-2513.5405 2826.3477 206.4984	0.000 0.015 0.000
item_ammo_pistol_ttt	-2503.3938 2826.6099 206.4984	0.000 0.015 0.000
item_ammo_pistol_ttt	-2494.0239 2827.1340 206.4984	0.000 0.015 0.000
item_ammo_pistol_ttt	-2223.1768 2232.5168 960.3654	-0.125 -0.002 0.086
item_ammo_pistol_ttt	-2241.7825 2237.0659 960.3647	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-2213.1064 2256.7490 960.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-2322.3794 192.4824 535.3940	-0.227 -2.862 0.303
item_ammo_pistol_ttt	-2334.8723 218.3359 535.2938	0.137 0.019 -0.040
item_ammo_pistol_ttt	-2309.5618 219.4653 535.3140	0.120 0.020 -0.035
item_ammo_pistol_ttt	-2457.4565 1562.4150 525.4041	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	-2456.3667 1580.8196 525.4608	1.007 0.372 0.080
item_ammo_pistol_ttt	-2469.8865 1591.5732 528.3102	-89.342 98.774 -154.808
item_ammo_pistol_ttt	-2520.5627 1557.8135 525.3764	-0.107 -0.020 -0.032
item_ammo_pistol_ttt	-2523.0876 1576.4205 525.4275	-0.494 0.180 -0.624
